time,instrument,granularity,side,price,position_size,equity,drawdown
2025-10-17 12:15:00+00:00,EUR_USD,M15,FLAT,1.16724,0.0,100123.96,0.000561
2025-10-17 13:00:00+00:00,EUR_USD,M15,BUY,1.16774,2503.1,100123.96,0.000561
2025-10-17 14:00:00+00:00,EUR_USD,M15,FLAT,1.16577,0.0,100119.73,0.000603
2025-10-17 14:15:00+00:00,EUR_USD,M15,BUY,1.16664,2502.99,100119.73,0.000603
2025-10-17 16:15:00+00:00,EUR_USD,M15,FLAT,1.1678,0.0,100122.22,0.000578
2025-10-22 22:45:00+00:00,EUR_USD,M15,BUY,1.16123,2503.06,100122.22,0.000578
2025-10-23 01:45:00+00:00,EUR_USD,M15,FLAT,1.15979,0.0,100119.12,0.000609
2025-10-23 02:30:00+00:00,EUR_USD,M15,BUY,1.15957,2502.98,100119.12,0.000609
2025-10-23 09:15:00+00:00,EUR_USD,M15,FLAT,1.15994,0.0,100119.92,0.000601
2025-10-23 19:30:00+00:00,EUR_USD,M15,BUY,1.16177,2503.0,100119.92,0.000601
2025-10-24 04:00:00+00:00,EUR_USD,M15,FLAT,1.16076,0.0,100117.74,0.000623
2025-10-24 04:15:00+00:00,EUR_USD,M15,BUY,1.16063,2502.94,100117.74,0.000623
2025-10-24 12:15:00+00:00,EUR_USD,M15,FLAT,1.16128,0.0,100119.15,0.000609
2025-10-24 15:00:00+00:00,EUR_USD,M15,BUY,1.16307,2502.98,100119.15,0.000609
2025-10-24 20:00:00+00:00,EUR_USD,M15,FLAT,1.1635,0.0,100120.07,0.000599
2025-10-24 20:15:00+00:00,EUR_USD,M15,BUY,1.16328,2503.0,100120.07,0.000599
2025-10-27 04:30:00+00:00,EUR_USD,M15,FLAT,1.1622,0.0,100117.75,0.000623
2025-10-27 05:30:00+00:00,EUR_USD,M15,BUY,1.16244,2502.94,100117.75,0.000623
2025-10-28 00:15:00+00:00,EUR_USD,M15,FLAT,1.16567,0.0,100124.7,0.000553
2025-10-28 00:45:00+00:00,EUR_USD,M15,BUY,1.16558,2503.12,100124.7,0.000553
2025-10-28 01:00:00+00:00,EUR_USD,M15,FLAT,1.16615,0.0,100125.93,0.000541
2025-10-28 01:15:00+00:00,EUR_USD,M15,BUY,1.1656,2503.15,100125.93,0.000541
2025-10-28 16:45:00+00:00,EUR_USD,M15,FLAT,1.16678,0.0,100128.47,0.000516
2025-10-28 17:00:00+00:00,EUR_USD,M15,BUY,1.16618,2503.21,100128.47,0.000516
2025-10-28 20:45:00+00:00,EUR_USD,M15,FLAT,1.16522,0.0,100126.41,0.000536
2025-10-29 02:30:00+00:00,EUR_USD,M15,BUY,1.16432,2503.16,100126.41,0.000536
2025-10-29 02:45:00+00:00,EUR_USD,M15,FLAT,1.16465,0.0,100127.12,0.000529
2025-11-05 10:45:00+00:00,EUR_USD,M15,BUY,1.14834,2503.18,100127.12,0.000529
2025-11-05 17:45:00+00:00,EUR_USD,M15,FLAT,1.14805,0.0,100126.5,0.000535
2025-11-06 02:30:00+00:00,EUR_USD,M15,BUY,1.15042,2503.16,100126.5,0.000535
2025-11-07 11:00:00+00:00,EUR_USD,M15,FLAT,1.15509,0.0,100136.65,0.000434
2025-11-07 12:45:00+00:00,EUR_USD,M15,BUY,1.15559,2503.42,100136.65,0.000434
2025-11-07 13:15:00+00:00,EUR_USD,M15,FLAT,1.15674,0.0,100139.14,0.000409
